column
AVGO
GLUE
MCD
FICO
CMG
C
SAM
TSLA
NFLX
ELV
TSM
PM
T
ISRG
MMC
LRCX
LVS
AA
DFS
ZION
COLB
KMI
CCI
EFX
STLD
PPG
LBRT
HBCP
SLG
MCRI
GSBC
REXR
FNB
FR
MRTN
BANR
ABIO
CNS
FNLC
MMLP
NVEC
PTSI
OFLX
SPR
FND
NVDS
LMT
FDMT
MS
UAL
RCEL
RIOT
LAC
MOD
LICY
LCID
ACXP
AUMN
NKLA
DJUSCL
CRWD
AMGN
LLY
LNG
JBL
CWEN
PANW
